Date,Winner,WinnerScore,Loser,LoserScore,,,,,
1/10/2025,@Quinnipiac,72,Siena,53,,,,,
1/10/2025,F Dickinson,91,@Le Moyne,86,O2,,,,
1/10/2025,@Niagara,70,St Peter's,60,,,,,
1/10/2025,@St Francis PA,73,Mercyhurst,59,,,,,
1/10/2025,LIU Brooklyn,70,@Stonehill,60,,,,,
1/10/2025,Wagner,62,@Central Conn,57,,,,,
1/11/2025,@Maine,87,SUNY Albany,66,,,,,
1/11/2025,Cornell,94,@Columbia,83,,,,,
1/11/2025,@Lafayette,82,Holy Cross,65,,,,,
1/11/2025,Army,74,@Lehigh,69,,,,,
1/11/2025,@MA Lowell,70,NJIT,62,,,,,
1/11/2025,@Howard,100,Morgan St,95,,,,,
1/11/2025,Nevada,77,@Fresno St,66,O1,,,,
1/11/2025,@New Hampshire,79,Binghamton,72,,,,,
1/11/2025,@Bryant,73,Vermont,53,,,,,
1/11/2025,@SMU,93,Georgia Tech,71,,,,,
1/11/2025,Louisville,82,@Pittsburgh,78,,,,,
1/11/2025,@Stanford,88,Virginia,65,,,,,
1/11/2025,Rhode Island,67,@Richmond,64,O1,,,,
1/11/2025,@St Joseph's PA,93,Loyola-Chicago,57,,,,,
1/11/2025,@George Mason,77,Massachusetts,70,,,,,
1/11/2025,@Davidson,74,Fordham,64,,,,,
1/11/2025,@S Illinois,88,Missouri St,78,O1,,,,
1/11/2025,@Murray St,58,Valparaiso,47,,,,,
1/11/2025,Northern Iowa,85,@Illinois St,84,,,,,
1/11/2025,@Drake,63,Evansville,40,,,,,
1/11/2025,Bradley,61,@IL Chicago,60,,,,,
1/11/2025,Belmont,84,@Indiana St,79,,,,,
1/11/2025,@New Mexico,62,San Diego St,48,,,,,
1/11/2025,San Jose St,69,@Air Force,62,,,,,
1/11/2025,@American Univ,68,Bucknell,58,,,,,
1/11/2025,@Iowa,85,Indiana,60,,,,,
1/11/2025,USC,82,@Illinois,72,,,,,
1/11/2025,@Duke,86,Notre Dame,78,,,,,
1/11/2025,La Salle,83,@St Bonaventure,82,O1,,,,
1/11/2025,@Clemson,77,Florida St,57,,,,,
1/11/2025,Syracuse,79,@Boston College,71,,,,,
1/11/2025,North Carolina,63,@NC State,61,,,,,
1/11/2025,Delaware St,76,@S Carolina St,75,,,,,
1/11/2025,Wake Forest,88,@Miami FL,78,,,,,
1/11/2025,Virginia Tech,71,@California,68,,,,,
1/11/2025,@Arizona,88,UCF,80,,,,,
1/11/2025,Houston,87,@Kansas St,57,,,,,
1/11/2025,Baylor,72,@Arizona St,66,O1,,,,
1/11/2025,@Utah,83,Oklahoma St,62,,,,,
1/11/2025,Kansas,54,@Cincinnati,40,,,,,
1/11/2025,Iowa St,85,@Texas Tech,84,O1,,,,
1/11/2025,@TCU,71,BYU,67,,,,,
1/11/2025,Temple,73,@Rice,70,,,,,
1/11/2025,@Tulane,73,South Florida,70,,,,,
1/11/2025,@Memphis,74,East Carolina,70,,,,,
1/11/2025,@UT San Antonio,88,Wichita St,75,,,,,
1/11/2025,Radford,80,@SC Upstate,67,,,,,
1/11/2025,UNC Asheville,96,@Presbyterian,87,,,,,
1/11/2025,@Winthrop,95,Longwood,76,,,,,
1/11/2025,@High Point,96,Gardner Webb,55,,,,,
1/11/2025,@Colorado St,84,UNLV,62,,,,,
1/11/2025,Florida,71,@Arkansas,63,,,,,
1/11/2025,Queens NC,67,@Austin Peay,60,,,,,
1/11/2025,@Ball St,91,Bowling Green,69,,,,,
1/11/2025,North Florida,98,@Bellarmine,83,,,,,
1/11/2025,N Dakota St,69,@Denver,50,,,,,
1/11/2025,@ETSU,70,Citadel,52,,,,,
1/11/2025,Jacksonville,82,@E Kentucky,75,,,,,
1/11/2025,Akron,105,@E Michigan,81,,,,,
1/11/2025,@FGCU,77,Cent Arkansas,71,,,,,
1/11/2025,@Georgia,72,Oklahoma,62,,,,,
1/11/2025,@Gonzaga,88,Washington St,75,,,,,
1/11/2025,@Lindenwood,82,TN Martin,81,,,,,
1/11/2025,@Louisiana Tech,79,Liberty,74,,,,,
1/11/2025,@Miami OH,91,W Michigan,71,,,,,
1/11/2025,@MTSU,81,Jacksonville St,64,,,,,
1/11/2025,Kentucky,95,@Mississippi St,90,,,,,
1/11/2025,@Missouri,75,Vanderbilt,66,,,,,
1/11/2025,@NE Omaha,87,S Dakota St,80,,,,,
1/11/2025,@Ohio,108,N Illinois,70,,,,,
1/11/2025,@Mississippi,77,LSU,65,,,,,
1/11/2025,@Oral Roberts,83,North Dakota,79,,,,,
1/11/2025,Oregon St,91,@Pacific,55,,,,,
1/11/2025,@Sam Houston St,81,Florida Intl,74,,,,,
1/11/2025,@Samford,76,UNC Greensboro,69,,,,,
1/11/2025,St Mary's CA,103,@San Diego,56,,,,,
1/11/2025,@Santa Clara,77,San Francisco,54,,,,,
1/11/2025,@Seattle,66,Abilene Chr,64,,,,,
1/11/2025,@SIUE,67,Tennessee Tech,59,,,,,
1/11/2025,Auburn,66,@South Carolina,63,,,,,
1/11/2025,Morehead St,67,@SE Missouri St,56,,,,,
1/11/2025,@Southern Utah,73,UT Arlington,68,,,,,
1/11/2025,@St Thomas MN,119,South Dakota            1,4,,,,,
1/11/2025,North Alabama,92,@Stetson,64,,,,,
1/11/2025,Tennessee,74,@Texas,70,,,,,
1/11/2025,Alabama,94,@Texas A&M,88,,,,,
1/11/2025,Long Beach St,84,@UC Davis,73,,,,,
1/11/2025,@Utah Tech,58,Tarleton St,54,,,,,
1/11/2025,@Utah Valley,75,Cal Baptist,69,,,,,
1/11/2025,New Mexico St,85,@UTEP,57,,,,,
1/11/2025,Tennessee St,72,@W Illinois,52,,,,,
1/11/2025,@WKU,85,Kennesaw,69,,,,,
1/11/2025,@Lipscomb,86,West Georgia,67,,,,,
1/11/2025,@CS Bakersfield,94,CS Northridge,90,,,,,
1/11/2025,Hawaii,95,@CS Fullerton,86,,,,,
1/11/2025,E Washington,65,@CS Sacramento,54,,,,,
1/11/2025,@Alcorn St,62,Alabama A&M,52,,,,,
1/11/2025,@Georgia St,79,Coastal Car,74,,,,,
1/11/2025,@Norfolk St,92,Coppin St,69,,,,,
1/11/2025,@Appalachian St,86,James Madison,66,,,,,
1/11/2025,@Marshall,81,Ga Southern,69,,,,,
1/11/2025,Princeton,68,@Harvard,64,,,,,
1/11/2025,Arkansas St,84,@Troy,78,,,,,
1/11/2025,@Portland St,75,Idaho,63,,,,,
1/11/2025,Weber St,77,@Idaho St,69,,,,,
1/11/2025,@Houston Chr,81,Incarnate Word,76,,,,,
1/11/2025,@Jackson St,77,Alabama St,70,,,,,
1/11/2025,SF Austin,72,@Lamar,63,,,,,
1/11/2025,@Loyola MD,75,Navy,74,,,,,
1/11/2025,@NC Central,88,MD E Shore,69,,,,,
1/11/2025,@McNeese St,80,Nicholls St,71,,,,,
1/11/2025,Prairie View,74,@MS Valley St,65,,,,,
1/11/2025,@Montana St,58,Northern Arizona,53,,,,,
1/11/2025,SE Louisiana,91,@New Orleans,71,,,,,
1/11/2025,N Colorado,81,@Montana,57,,,,,
1/11/2025,@Dartmouth,73,Penn,70,,,,,
1/11/2025,Bethune-Cookman,65,@Grambling,59,,,,,
1/11/2025,@Southern Univ,91,Florida A&M,57,,,,,
1/11/2025,@TAM C. Christi,79,UTRGV,74,,,,,
1/11/2025,@Northwestern LA,75,East Texas A&M,67,,,,,
1/11/2025,@Southern Miss,92,Texas St,88,O1,,,,
1/11/2025,@Colgate,87,Boston Univ,50,,,,,
1/11/2025,UC Irvine,60,@UC San Diego,52,,,,,
1/11/2025,UC Santa Barbara,75,@Cal Poly,72,,,,,
1/11/2025,@Utah St,81,Boise St,79,,,,,
1/11/2025,@Yale,79,Brown,58,,,,,
1/11/2025,Connecticut,68,@Georgetown,60,,,,,
1/11/2025,Creighton,80,@Butler,76,,,,,
1/11/2025,@St John's,80,Villanova,68,,,,,
1/11/2025,@Providence,91,Seton Hall,85,,,,,
1/11/2025,Xavier,77,@DePaul,63,,,,,
1/11/2025,Old Dominion,71,@South Alabama,63,O1,,,,
1/11/2025,@Louisiana,71,ULM,68,,,,,
1/11/2025,Cleveland St,80,@Youngstown St,72,,,,,
1/11/2025,Oakland,68,@N Kentucky,53,,,,,
1/11/2025,@PFW,90,Detroit,67,,,,,
1/11/2025,@WI Milwaukee,70,WI Green Bay,59,,,,,
1/11/2025,@Monmouth NJ,84,Col Charleston,73,,,,,
1/11/2025,@Hofstra,66,UNC Wilmington,63,,,,,
1/11/2025,@William & Mary,81,NC A&T,78,,,,,
1/11/2025,Towson,93,@Drexel,82,O1,,,,
1/11/2025,@Hampton,83,Delaware,77,,,,,
1/11/2025,Northeastern,70,@Stony Brook,66,,,,,
1/12/2025,@Purdue,104,Nebraska,68,,,,,
1/12/2025,Oregon,82,@Penn St,81,,,,,
1/12/2025,@Michigan,91,Washington,75,,,,,
1/12/2025,Michigan St,78,@Northwestern,68,,,,,
1/12/2025,LIU Brooklyn,54,@Central Conn,52,,,,,
1/12/2025,@Tulsa,69,Charlotte,63,,,,,
1/12/2025,West Virginia,78,@Colorado,70,,,,,
1/12/2025,UAB,81,@FL Atlantic,76,,,,,
1/12/2025,@Chattanooga,91,VMI,66,,,,,
1/12/2025,@Ark Little Rock,78,Southern Indiana,58,,,,,
1/12/2025,@W Carolina,85,Mercer,82,,,,,
1/12/2025,St Peter's,62,@Canisius,49,,,,,
1/12/2025,Quinnipiac,63,@Iona,62,,,,,
1/12/2025,@Marist,61,Fairfield,51,,,,,
1/12/2025,@Merrimack,69,Manhattan,62,,,,,
1/12/2025,@Mt St Mary's,73,Sacred Heart,71,,,,,
1/12/2025,Rider,68,@Niagara,65,,,,,
1/12/2025,St Francis PA,75,@F Dickinson,71,,,,,
1/12/2025,@Le Moyne,79,Mercyhurst,63,,,,,
1/12/2025,Stonehill,68,@Chicago St,52,,,,,
1/12/2025,@Robert Morris,75,Wright St,72,,,,,
1/13/2025,@Grambling,79,Florida A&M,72,,,,,
1/13/2025,@Morgan St,78,Norfolk St,74,,,,,
1/13/2025,Prairie View,75,@Ark Pine Bluff,64,,,,,
1/13/2025,@Rutgers,75,UCLA,68,,,,,
1/13/2025,@Maryland,77,Minnesota,71,,,,,
1/13/2025,@Notre Dame,78,Boston College,60,,,,,
1/13/2025,@NC Central,75,Delaware St,72,,,,,
1/13/2025,@Elon,81,Campbell,68,,,,,
1/13/2025,Wofford,81,@Furman,62,,,,,
1/13/2025,@Alcorn St,67,Alabama St,65,,,,,
1/13/2025,@Howard,90,Coppin St,75,,,,,
1/13/2025,Nicholls St,88,@Incarnate Word,82,,,,,
1/13/2025,@Jackson St,103,Alabama A&M,93,O3,,,,
1/13/2025,New Orleans,68,@Lamar,62,,,,,
1/13/2025,American Univ,73,@Loyola MD,54,,,,,
1/13/2025,@S Carolina St,78,MD E Shore,64,,,,,
1/13/2025,McNeese St,75,@Houston Chr,59,,,,,
1/13/2025,TX Southern,82,@MS Valley St,53,,,,,
1/13/2025,@Southern Univ,69,Bethune-Cookman,53,,,,,
1/13/2025,SE Louisiana,66,@SF Austin,59,,,,,
1/13/2025,@TAM C. Christi,73,Northwestern LA,64,,,,,
1/13/2025,@UTRGV,57,East Texas A&M,55,,,,,
1/14/2025,@Nevada,68,Air Force,62,,,,,
1/14/2025,@Boise St,96,Wyoming,55,,,,,
1/14/2025,@VCU,78,St Louis,62,,,,,
1/14/2025,@Northern Iowa,73,Evansville,56,,,,,
1/14/2025,@San Jose St,71,New Mexico,70,,,,,
1/14/2025,@San Diego St,75,Colorado St,60,,,,,
1/14/2025,@Wisconsin,70,Ohio St,68,,,,,
1/14/2025,@USC,99,Iowa,89,,,,,
1/14/2025,Illinois,94,@Indiana,69,,,,,
1/14/2025,Louisville,85,@Syracuse,61,,,,,
1/14/2025,@Belmont,71,Valparaiso,64,,,,,
1/14/2025,@Duke,89,Miami FL,54,,,,,
1/14/2025,Clemson,70,@Georgia Tech,59,,,,,
1/14/2025,UCF,95,@Arizona St,89,,,,,
1/14/2025,@Arizona,81,Baylor,70,,,,,
1/14/2025,Texas Tech,61,@Kansas St,57,,,,,
1/14/2025,@BYU,85,Oklahoma St,69,,,,,
1/14/2025,@Wichita St,68,Charlotte,59,,,,,
1/14/2025,UT San Antonio,90,@Rice,84,,,,,
1/14/2025,North Texas,69,@East Carolina,60,,,,,
1/14/2025,@Akron,85,Toledo,78,,,,,
1/14/2025,Mississippi,74,@Alabama,64,,,,,
1/14/2025,@Auburn,88,Mississippi St,66,,,,,
1/14/2025,@Bowling Green,79,Buffalo,61,,,,,
1/14/2025,@C Michigan,82,E Michigan,63,,,,,
1/14/2025,Missouri,83,@Florida,82,,,,,
1/14/2025,W Michigan,94,@Kent,83,,,,,
1/14/2025,@Kentucky,81,Texas A&M,69,,,,,
1/14/2025,@LSU,78,Arkansas,74,,,,,
1/14/2025,Miami OH,84,@N Illinois,69,,,,,
1/14/2025,@Ohio,86,Ball St,71,,,,,
1/14/2025,Ark Little Rock,73,@SE Missouri St,71,,,,,
1/14/2025,@Creighton,84,Providence,64,,,,,
1/14/2025,@Xavier,69,Villanova,63,,,,,
1/14/2025,@St John's,63,Georgetown,58,,,,,
1/14/2025,Marquette,85,@DePaul,83,O1,,,,
1/15/2025,@Bucknell,86,Holy Cross,82,,,,,
1/15/2025,Colgate,73,@Navy,66,,,,,
1/15/2025,@Loyola-Chicago,81,Rhode Island,77,,,,,
1/15/2025,Massachusetts,120,@Fordham                 1,18,O3,,,,
1/15/2025,Duquesne,73,@G Washington,65,,,,,
1/15/2025,George Mason,67,@Dayton,59,,,,,
1/15/2025,@La Salle,79,Davidson,76,,,,,
1/15/2025,S Illinois,73,@Missouri St,51,,,,,
1/15/2025,@IL Chicago,97,Murray St,93,O2,,,,
1/15/2025,@Bradley,118,Indiana St,65,,,,,
1/15/2025,@Drake,66,Illinois St,62,,,,,
1/15/2025,Purdue,69,@Washington,58,,,,,
1/15/2025,@Michigan St,90,Penn St,85,,,,,
1/15/2025,@Wake Forest,80,Stanford,67,,,,,
1/15/2025,@North Carolina,79,California,53,,,,,
1/15/2025,@Virginia Tech,79,NC State,76,,,,,
1/15/2025,@St Bonaventure,63,Richmond,49,,,,,
1/15/2025,SMU,54,@Virginia,52,,,,,
1/15/2025,@Florida St,82,Pittsburgh,70,,,,,
1/15/2025,@Houston,70,West Virginia,54,,,,,
1/15/2025,Cincinnati,68,@Colorado,62,,,,,
1/15/2025,@Iowa St,74,Kansas,57,,,,,
1/15/2025,Utah,73,@TCU,65,,,,,
1/15/2025,UAB,92,@South Florida,83,,,,,
1/15/2025,@Tulane,80,FL Atlantic,65,,,,,
1/15/2025,@UNC Asheville,93,SC Upstate,92,,,,,
1/15/2025,@Radford,79,Gardner Webb,75,,,,,
1/15/2025,@Winthrop,102,Charleston So,97,O3,,,,
1/15/2025,@Army,70,Lafayette,68,,,,,
1/15/2025,Texas,77,@Oklahoma,73,,,,,
1/15/2025,@Tennessee,74,Georgia,56,,,,,
1/15/2025,@Vanderbilt,66,South Carolina,63,,,,,
1/15/2025,@UNLV,65,Utah St,62,,,,,
1/15/2025,Bowie St,76,@Howard,73,,,,,
1/15/2025,@Chattanooga,83,Wofford,81,O1,,,,
1/15/2025,NE Omaha,80,@Denver,62,,,,,
1/15/2025,@Furman,73,ETSU,70,,,,,
1/15/2025,Samford,75,@Mercer,74,,,,,
1/15/2025,@UNC Greensboro,70,Citadel,57,,,,,
1/15/2025,@VMI,66,W Carolina,50,,,,,
1/15/2025,@Texas St,94,Georgia St,80,,,,,
1/15/2025,Troy,77,@ULM,58,,,,,
1/15/2025,@Boston Univ,63,Lehigh,58,,,,,
1/15/2025,@Butler,82,Seton Hall,77,,,,,
1/15/2025,@South Alabama,75,Southern Miss,62,,,,,
1/15/2025,PFW,120,@Wright St               1,13,O2,,,,
1/15/2025,@Oakland,72,IUPUI,59,,,,,
1/15/2025,@Cleveland St,76,N Kentucky,58,,,,,
1/16/2025,Montana,63,@Weber St,59,,,,,
1/16/2025,Bryant,89,@SUNY Albany,79,,,,,
1/16/2025,Maine,57,@NJIT,44,,,,,
1/16/2025,New Hampshire,79,@UMBC,76,,,,,
1/16/2025,@Vermont,72,Binghamton,64,,,,,
1/16/2025,@Northwestern,76,Maryland,74,O1,,,,
1/16/2025,Rutgers,85,@Nebraska,82,,,,,
1/16/2025,@Minnesota,84,Michigan,81,O1,,,,
1/16/2025,@Temple,88,Memphis,81,,,,,
1/16/2025,@Longwood,82,High Point,80,,,,,
1/16/2025,CS Northridge,83,@Hawaii,60,,,,,
1/16/2025,@Austin Peay,97,E Kentucky,90,O1,,,,
1/16/2025,Lipscomb,87,@Bellarmine,53,,,,,
1/16/2025,@Fairfield,70,Niagara,66,,,,,
1/16/2025,@FGCU,82,West Georgia,60,,,,,
1/16/2025,New Mexico St,59,@Florida Intl,52,,,,,
1/16/2025,@Grand Canyon,88,Abilene Chr,58,,,,,
1/16/2025,@Iona,82,Canisius,61,,,,,
1/16/2025,@Jacksonville St,63,Louisiana Tech,61,,,,,
1/16/2025,@Jacksonville,64,North Alabama,60,,,,,
1/16/2025,@Kennesaw,75,Sam Houston St,69,O1,,,,
1/16/2025,UTEP,72,@Liberty,70,,,,,
1/16/2025,@Loy Marymount,57,Santa Clara,54,,,,,
1/16/2025,@Morehead St,51,W Illinois,47,,,,,
1/16/2025,@N Dakota St,71,Missouri KC,64,,,,,
1/16/2025,@Oregon St,97,Gonzaga,89,O1,,,,
1/16/2025,San Francisco,80,@Pepperdine,63,,,,,
1/16/2025,@Portland,84,Pacific,81,O1,,,,
1/16/2025,@Rider,66,Mt St Mary's,60,,,,,
1/16/2025,Washington St,65,@San Diego,61,,,,,
1/16/2025,@Seattle,82,Utah Tech,62,,,,,
1/16/2025,@Siena,93,Sacred Heart,75,,,,,
1/16/2025,@S Dakota St,109,North Dakota,73,,,,,
1/16/2025,@South Dakota,92,Oral Roberts,82,,,,,
1/16/2025,@Southern Indiana,80,Lindenwood,73,,,,,
1/16/2025,Marist,56,@St Peter's,51,,,,,
1/16/2025,Queens NC,95,@Stetson,60,,,,,
1/16/2025,@Tarleton St,67,Cal Baptist,57,,,,,
1/16/2025,SIUE,87,@Tennessee St,80,O2,,,,
1/16/2025,SE Missouri St,77,@Tennessee Tech,70,,,,,
1/16/2025,Utah Valley,85,@UT Arlington,83,O1,,,,
1/16/2025,@TN Martin,68,E Illinois,63,,,,,
1/16/2025,@North Florida,92,Cent Arkansas,80,,,,,
1/16/2025,@Quinnipiac,81,Merrimack,76,,,,,
1/16/2025,UC San Diego,80,@Long Beach St,54,,,,,
1/16/2025,@UC Irvine,82,CS Fullerton,62,,,,,
1/16/2025,@Northern Arizona,77,CS Sacramento,53,,,,,
1/16/2025,Ga Southern,88,@Coastal Car,87,O1,,,,
1/16/2025,@Coppin St,88,Cheyney St,62,,,,,
1/16/2025,Appalachian St,62,@Old Dominion,43,,,,,
1/16/2025,@Arkansas St,83,Louisiana,63,,,,,
1/16/2025,@James Madison,67,Marshall,64,,,,,
1/16/2025,@Idaho St,70,Montana St,67,,,,,
1/16/2025,@N Colorado,72,Portland St,69,,,,,
1/16/2025,@UC Santa Barbara,66,UC Riverside,63,,,,,
1/16/2025,UC Davis,65,@Cal Poly,54,,,,,
1/16/2025,Col Charleston,67,@Campbell,61,,,,,
1/16/2025,Elon,65,@Drexel,54,,,,,
1/16/2025,William & Mary,67,@Hampton,64,,,,,
1/16/2025,Monmouth NJ,72,@NC A&T,63,,,,,
1/16/2025,@Towson,65,Hofstra,60,,,,,
1/16/2025,@Delaware,84,Stony Brook,74,,,,,
1/16/2025,@UNC Wilmington,80,Northeastern,72,,,,,
1/17/2025,VCU,78,@St Joseph's PA,69,,,,,
1/17/2025,@UCLA,94,Iowa,70,,,,,
1/17/2025,Indiana,77,@Ohio St,76,O1,,,,
1/17/2025,@Fresno St,74,Air Force,65,,,,,
1/17/2025,@Akron,92,Ohio,80,,,,,
1/17/2025,@New Mexico,84,Boise St,65,,,,,
1/17/2025,@Villanova,75,Providence,73,,,,,
1/17/2025,DePaul,73,@Georgetown,68,,,,,
1/17/2025,Robert Morris,89,@WI Green Bay,67,,,,,
1/17/2025,@WI Milwaukee,79,Youngstown St,64,,,,,
1/18/2025,SUNY Albany,70,@Binghamton,65,,,,,
1/18/2025,American Univ,74,@Holy Cross,65,,,,,
1/18/2025,@Florida A&M,86,Ark Pine Bluff,76,,,,,
1/18/2025,Maine,87,@UMBC,62,,,,,
1/18/2025,@Bryant,85,MA Lowell,62,,,,,
1/18/2025,@Bucknell,73,Navy,69,,,,,
1/18/2025,@Nevada,75,San Jose St,64,,,,,
1/18/2025,@NJIT,64,New Hampshire,59,,,,,
1/18/2025,Alabama St,69,@Alabama A&M,65,,,,,
1/18/2025,Colorado St,79,@Wyoming,63,,,,,
1/18/2025,@Florida St,91,Georgia Tech,78,,,,,
1/18/2025,SMU,117,@Miami FL,74,,,,,
1/18/2025,Duke,88,@Boston College,63,,,,,
1/18/2025,@Louisville,81,Virginia,67,,,,,
1/18/2025,@Duquesne,75,St Bonaventure,57,,,,,
1/18/2025,@Dayton,83,Loyola-Chicago,81,O1,,,,
1/18/2025,@Rhode Island,92,Davidson,90,,,,,
1/18/2025,@S Illinois,73,Northern Iowa,49,,,,,
1/18/2025,IL Chicago,81,@Valparaiso,74,,,,,
1/18/2025,@Illinois St,74,Missouri St,68,,,,,
1/18/2025,Drake,71,@Indiana St,53,,,,,
1/18/2025,Bradley,74,@Murray St,61,,,,,
1/18/2025,Belmont,85,@Evansville,82,,,,,
1/18/2025,UNLV,76,@San Diego St,68,,,,,
1/18/2025,Colgate,90,@Lafayette,67,,,,,
1/18/2025,Wisconsin,84,@USC,69,,,,,
1/18/2025,Purdue,65,@Oregon,58,,,,,
1/18/2025,Clemson,78,@Pittsburgh,75,O1,,,,
1/18/2025,@George Mason,80,G Washington,77,O2,,,,
1/18/2025,Wake Forest,72,@Virginia Tech,63,,,,,
1/18/2025,Princeton,81,@Dartmouth,80,,,,,
1/18/2025,Stanford,72,@North Carolina,71,,,,,
1/18/2025,St Louis,63,@Richmond,59,,,,,
1/18/2025,@Syracuse,77,Notre Dame,69,,,,,
1/18/2025,California,65,@NC State,62,,,,,
1/18/2025,@Idaho St,86,Montana,61,,,,,
1/18/2025,Houston,69,@UCF,68,,,,,
1/18/2025,@Kansas,84,Kansas St,74,,,,,
1/18/2025,@West Virginia,64,Iowa St,57,,,,,
1/18/2025,@Oklahoma St,83,Colorado,73,,,,,
1/18/2025,@Utah,73,BYU,72,O1,,,,
1/18/2025,@Cincinnati,67,Arizona St,60,,,,,
1/18/2025,@Texas Tech,70,Arizona,54,,,,,
1/18/2025,East Carolina,75,@Wichita St,72,,,,,
1/18/2025,North Texas,72,@UT San Antonio,57,,,,,
1/18/2025,@South Florida,63,Tulsa,56,,,,,
1/18/2025,@UNC Asheville,93,Winthrop,84,,,,,
1/18/2025,@High Point,77,Presbyterian,66,,,,,
1/18/2025,@Gardner Webb,97,SC Upstate,68,,,,,
1/18/2025,@Charleston So,58,Radford,54,,,,,
1/18/2025,@LIU Brooklyn,64,St Francis PA,51,,,,,
1/18/2025,@Chicago St,88,Le Moyne,72,,,,,
1/18/2025,North Alabama,90,@North Florida,84,,,,,
1/18/2025,Cal Baptist,60,@Abilene Chr,54,,,,,
1/18/2025,Toledo,93,@Ball St,75,,,,,
1/18/2025,E Michigan,68,@Bowling Green,62,,,,,
1/18/2025,@E Kentucky,72,Bellarmine,69,,,,,
1/18/2025,Canisius,78,@Fairfield,67,,,,,
1/18/2025,@Florida,84,Texas,60,,,,,
1/18/2025,@FGCU,60,Queens NC,47,,,,,
1/18/2025,UTEP,81,@Florida Intl,73,,,,,
1/18/2025,Chattanooga,75,@Furman,71,,,,,
1/18/2025,Auburn,70,@Georgia,68,,,,,
1/18/2025,Santa Clara,103,@Gonzaga,99,,,,,
1/18/2025,@Grand Canyon,88,Tarleton St,64,,,,,
1/18/2025,@Jacksonville,72,Cent Arkansas,62,,,,,
1/18/2025,@Jacksonville St,70,Sam Houston St,62,,,,,
1/18/2025,@Kennesaw,78,Louisiana Tech,76,,,,,
1/18/2025,Miami OH,70,@Kent,61,,,,,
1/18/2025,Alabama,102,@Kentucky,97,,,,,
1/18/2025,@Liberty,68,New Mexico St,60,,,,,
1/18/2025,@Loy Marymount,77,San Diego,70,,,,,
1/18/2025,Rider,64,@Marist,57,,,,,
1/18/2025,@Merrimack,64,Siena,58,,,,,
1/18/2025,@MTSU,71,WKU,57,,,,,
1/18/2025,@Mississippi St,84,Mississippi,81,O1,,,,
1/18/2025,@Missouri,83,Arkansas,65,,,,,
1/18/2025,@Morehead St,82,Lindenwood,65,,,,,
1/18/2025,Quinnipiac,91,@Mt St Mary's,57,,,,,
1/18/2025,@North Dakota,76,Missouri KC,72,,,,,
1/18/2025,C Michigan,71,@N Illinois,66,,,,,
1/18/2025,@Oklahoma,82,South Carolina,62,,,,,
1/18/2025,St Mary's CA,74,@Pepperdine,50,,,,,
1/18/2025,St Peter's,66,@Sacred Heart,61,,,,,
1/18/2025,ETSU,65,@Samford,60,,,,,
1/18/2025,@San Francisco,81,Oregon St,70,,,,,
1/18/2025,@Seattle,75,Southern Utah,52,,,,,
1/18/2025,N Dakota St,103,@South Dakota,77,,,,,
1/18/2025,@S Dakota St,84,Oral Roberts,70,,,,,
1/18/2025,@Southern Indiana,78,W Illinois,66,,,,,
1/18/2025,@St Thomas MN,74,Denver,62,,,,,
1/18/2025,@Tennessee St,84,E Illinois,65,,,,,
1/18/2025,Ark Little Rock,77,@Tennessee Tech,71,,,,,
1/18/2025,@Texas A&M,68,LSU,57,,,,,
1/18/2025,@TN Martin,85,SIUE,82,,,,,
1/18/2025,@Utah Valley,96,Utah Tech,80,,,,,
1/18/2025,@Vanderbilt,76,Tennessee,75,,,,,
1/18/2025,VMI,75,@Citadel,70,,,,,
1/18/2025,@Washington St,92,Portland,70,,,,,
1/18/2025,UNC Greensboro,83,@W Carolina,55,,,,,
1/18/2025,Buffalo,85,@W Michigan,76,,,,,
1/18/2025,@Wofford,69,Mercer,49,,,,,
1/18/2025,@Lipscomb,88,Austin Peay,60,,,,,
1/18/2025,CS Fullerton,83,@Long Beach St,67,,,,,
1/18/2025,@Hawaii,81,CS Bakersfield,70,,,,,
1/18/2025,@N Colorado,68,CS Sacramento,64,,,,,
1/18/2025,@Delaware St,126,VA-Lynchburg,38,,,,,
1/18/2025,@TX Southern,66,Alcorn St,57,,,,,
1/18/2025,Marshall,77,@Coastal Car,64,,,,,
1/18/2025,@Idaho,83,E Washington,76,,,,,
1/18/2025,Central Conn,71,@F Dickinson,60,,,,,
1/18/2025,Appalachian St,58,@James Madison,50,,,,,
1/18/2025,Ga Southern,67,@Old Dominion,63,,,,,
1/18/2025,@Arkansas St,85,Georgia St,59,,,,,
1/18/2025,Harvard,80,@Brown,67,,,,,
1/18/2025,TAM C. Christi,69,@Incarnate Word,63,,,,,
1/18/2025,Jackson St,79,@Prairie View,70,,,,,
1/18/2025,@McNeese St,75,Lamar,64,,,,,
1/18/2025,Loyola MD,76,@Lehigh,60,,,,,
1/18/2025,@Manhattan,72,Niagara,65,,,,,
1/18/2025,Mercyhurst,69,@Wagner,65,,,,,
1/18/2025,@Bethune-Cookman,83,MS Valley St,58,,,,,
1/18/2025,Montana St,80,@Weber St,71,,,,,
1/18/2025,New Orleans,82,@East Texas A&M,73,,,,,
1/18/2025,@Nicholls St,73,SF Austin,61,,,,,
1/18/2025,Portland St,80,@Northern Arizona,69,,,,,
1/18/2025,Cornell,86,@Penn,76,,,,,
1/18/2025,SE Louisiana,65,@Northwestern LA,64,,,,,
1/18/2025,@Southern Univ,67,Grambling,60,,,,,
