Date,Winner,WinnerScore,Loser,LoserScore,,,,,
11/4/2024,@VMI,103,Washington MD,54,,,,,
11/4/2024,@W Carolina,100,Bob Jones,61,,,,,
11/4/2024,Wichita St,91,@WKU,84,,,,,
11/4/2024,@William & Mary,84,Dickinson,36,,,,,
11/4/2024,@Oklahoma St,89,WI Green Bay,76,,,,,
11/4/2024,@Wofford,112,Erskine,58,,,,,
11/4/2024,Buffalo,83,@Old Dominion,82,,,,,
11/4/2024,@N Colorado,75,Colorado Col,55,,,,,
11/4/2024,@California,86,CS Bakersfield,73,,,,,
11/4/2024,@Winthrop,125,Piedmont,65,,,,,
11/4/2024,@Alabama,110,UNC Asheville,54,,,,,
11/4/2024,@Massachusetts,103,New Hampshire,74,,,,,
11/4/2024,@UT San Antonio,103,Trinity TX,77,,,,,
11/4/2024,@Northern Iowa,96,Dubuque,54,,,,,
11/4/2024,@WI Milwaukee,118,Lakeland,62,,,,,
11/4/2024,@Xavier,78,TX Southern,69,,,,,
11/4/2024,@Seton Hall,57,St Peter's,53,,,,,
11/4/2024,@Marquette,102,Stony Brook,62,,,,,
11/4/2024,@DePaul,80,Southern Indiana,78,O1,,,,
11/4/2024,@Northwestern,90,Lehigh,46,,,,,
11/4/2024,@Iowa,89,East Texas A&M,67,,,,,
11/4/2024,@UCF,64,Texas A&M,61,,,,,
11/4/2024,@Mississippi,90,LIU Brooklyn,60,,,,,
11/4/2024,@Mississippi St,95,West Georgia,60,,,,,
11/4/2024,@Kentucky,103,Wright St,62,,,,,
11/4/2024,S Dakota St,80,McNeese St,73,Sioux,"Falls,",SD,,
11/4/2024,@St Bonaventure,70,CS Northridge,56,,,,,
11/5/2024,@San Francisco,86,Cal Poly,78,,,,,
11/5/2024,@Rice,77,Florida Intl,70,,,,,
11/5/2024,@BYU,88,Cent Arkansas,50,,,,,
11/5/2024,@Kansas St,89,New Orleans,65,,,,,
11/5/2024,@Kennesaw,110,Toccoa Falls,61,,,,,
11/5/2024,@CS Sacramento,106,Cal Maritime,44,,,,,
11/5/2024,@Colgate,95,SUNY Canton,62,,,,,
11/5/2024,@North Texas,80,Evansville,63,,,,,
11/5/2024,@Arizona St,55,Idaho St,48,,,,,
11/5/2024,@Texas Tech,94,Bethune-Cookman,61,,,,,
11/5/2024,@Washington,79,UC Davis,73,,,,,
11/6/2024,@Appalachian St,108,St Andrew's,54,,,,,
11/6/2024,@TX Southern,100,Texas A&M-SA,66,,,,,
11/6/2024,@Presbyterian,120,Carolina Chr,45,,,,,
11/6/2024,@Cleveland St,91,Baldwin-Wallace,53,,,,,
11/6/2024,CS Northridge,97,@Le Moyne,75,,,,,
11/6/2024,@Maine,98,ME Ft Kent,47,,,,,
11/6/2024,@Pepperdine,77,W Illinois,64,,,,,
11/6/2024,@Portland,83,Lewis & Clark,70,,,,,
11/6/2024,@Wright St,89,Ohio Chr,60,,,,,
11/6/2024,@San Diego St,63,UC San Diego,58,,,,,
11/6/2024,@New Hampshire,99,MA Boston,69,,,,,
11/6/2024,@South Dakota,91,East Texas A&M,83,,,,,
11/6/2024,@Ark Pine Bluff,99,Champion Bap,57,,,,,
11/6/2024,@Arkansas,76,Lipscomb,60,,,,,
11/6/2024,@Indiana,80,SIUE,61,,,,,
11/6/2024,Rider,68,@San Diego,67,,,,,
11/6/2024,@Virginia,65,Campbell,56,,,,,
11/6/2024,@Norfolk St,104,VA-Lynchburg,60,,,,,
11/6/2024,@Utah St,101,Alcorn St,46,,,,,
11/6/2024,@High Point,93,Coppin St,51,,,,,
11/6/2024,@Creighton,99,UTRGV,86,,,,,
11/6/2024,@E Illinois,97,Earlham,61,,,,,
11/6/2024,@E Washington,93,Seattle,86,,,,,
11/6/2024,@Georgetown,85,Lehigh,77,,,,,
11/6/2024,Mercyhurst,78,@Morgan St,73,,,,,
11/6/2024,@Richmond,101,Mt Olive,68,,,,,
11/6/2024,@Boise St,87,Oakland,43,,,,,
11/6/2024,@Rutgers,75,Wagner,52,,,,,
11/6/2024,@Connecticut,92,Sacred Heart,56,,,,,
11/6/2024,@Morehead St,89,Boyce,48,,,,,
11/6/2024,@SC Upstate,103,Piedmont,70,,,,,
11/6/2024,@Notre Dame,89,Stonehill,60,,,,,
11/6/2024,Columbia,90,@Villanova,80,,,,,
11/6/2024,@Georgia Tech,85,West Georgia,62,,,,,
11/6/2024,@Minnesota,80,Oral Roberts,57,,,,,
11/6/2024,@LSU,95,ULM,60,,,,,
11/6/2024,@Auburn,94,Vermont,43,,,,,
11/7/2024,@McNeese St,111,CBS-Houston,57,,,,,
11/7/2024,@Citadel,86,Erskine,56,,,,,
11/7/2024,@Air Force,73,Jacksonville St,67,,,,,
11/7/2024,Bucknell,75,@Southern Indiana,69,O1,,,,
11/7/2024,Stony Brook,73,@C Michigan,72,,,,,
11/7/2024,@Alabama A&M,121,Oakwood,78,,,,,
11/7/2024,@W Michigan,86,Davenport,46,,,,,
11/7/2024,@UAB,98,Southern Miss,84,,,,,
11/7/2024,@CS Bakersfield,122,Bethesda,53,,,,,
11/7/2024,@Tennessee Tech,89,Bryan,74,,,,,
11/7/2024,@North Texas,80,Wayland,38,,,,,
11/7/2024,@Michigan St,96,Niagara,60,,,,,
11/7/2024,@North Florida,90,Charleston So,66,,,,,
11/7/2024,@SMU,102,Florida A&M,73,,,,,
11/7/2024,@Wake Forest,80,NC A&T,64,,,,,
11/7/2024,NE Omaha,79,@Stetson,76,,,,,
11/7/2024,@North Alabama,94,Point,58,,,,,
11/7/2024,@N Illinois,105,Holy Cross IN,37,,,,,
11/7/2024,@TN Martin,114,Kentucky Chr,61,,,,,
11/7/2024,@Lindenwood,98,UHSP,30,,,,,
11/7/2024,@Mercer,125,VA-Lynchburg,54,,,,,
11/7/2024,@Utah,98,Cent Arkansas,63,,,,,
11/7/2024,@Loyola-Chicago,87,Detroit,65,,,,,
11/7/2024,@F Dickinson,112,Purchase,72,,,,,
11/7/2024,@Florida,81,Jacksonville,60,,,,,
11/7/2024,UC Davis,79,@Idaho,75,,,,,
11/7/2024,@USC,75,Idaho St,69,,,,,
11/7/2024,Illinois St,77,@N Dakota St,68,,,,,
11/7/2024,@Indiana St,93,Eureka,48,,,,,
11/7/2024,@Penn,85,MD E Shore,84,,,,,
11/7/2024,@MS Valley St,66,MS Women,49,,,,,
11/7/2024,@Wisconsin,79,Montana St,67,,,,,
11/7/2024,@Portland St,131,Evergreen St,84,,,,,
11/7/2024,@Quinnipiac,71,Worcester Tech,47,,,,,
11/7/2024,@Delaware,81,Robert Morris,77,,,,,
11/7/2024,@St Mary's CA,86,Chattanooga,74,,,,,
11/7/2024,@Binghamton,82,SUNY Oneonta,63,,,,,
11/7/2024,@Iowa,89,Southern Univ,74,,,,,
11/7/2024,@Louisiana,82,UT Dallas,65,,,,,
11/7/2024,@California,91,Cal Poly,73,,,,,
11/7/2024,@Northern Iowa,87,WI Milwaukee,68,,,,,
11/7/2024,@DePaul,92,Prairie View,59,,,,,
11/8/2024,@Mississippi St,101,Georgia St,66,,,,,
11/8/2024,@Oregon St,76,Weber St,48,,,,,
11/8/2024,@NC State,81,Presbyterian,72,,,,,
11/8/2024,Siena,90,@Bryant,88,O1,,,,
11/8/2024,@TAM C. Christi,87,Dallas Chr,36,,,,,
11/8/2024,@Cornell,88,Samford,86,,,,,
11/8/2024,@Kent,98,Miami-Hamilton,53,,,,,
11/8/2024,@MA Lowell,81,St Peter's,74,,,,,
11/8/2024,@Texas St,102,McMurry,62,,,,,
11/8/2024,South Alabama,70,@Nicholls St,64,,,,,
11/8/2024,@Colorado St,87,Tennessee St,79,O1,,,,
11/8/2024,Princeton,75,Duquesne,68,"Trenton,",NJ,,,
11/8/2024,Davidson,91,@Bowling Green,85,,,,,
11/8/2024,UC Irvine,66,@Loy Marymount,51,,,,,
11/8/2024,@Akron,88,Ohio Wesleyan,57,,,,,
11/8/2024,@Oregon,79,Montana,48,,,,,
11/8/2024,Gardner Webb,88,@NC Central,82,,,,,
11/8/2024,@S Illinois,86,Missouri S&T,64,,,,,
11/8/2024,@Oral Roberts,105,Ozark Chr,49,,,,,
11/8/2024,@Missouri KC,124,Kansas Chr,36,,,,,
11/8/2024,@Hawaii,96,Life Pacific,61,,,,,
11/8/2024,Temple,103,Monmouth NJ,74,"Trenton,",NJ,,,
11/8/2024,@Northern Arizona,115,Nelson AIC,67,,,,,
11/8/2024,@BYU,86,UC Riverside,80,,,,,
11/8/2024,Austin Peay,68,@Butler,66,,,,,
11/8/2024,@Colorado,90,N Colorado,88,O2,,,,
11/8/2024,@Duke,100,Army,58,,,,,
11/8/2024,E Kentucky,82,@ETSU,78,,,,,
11/8/2024,@Hofstra,90,Iona,76,,,,,
11/8/2024,@Illinois,90,SIUE,58,,,,,
11/8/2024,@Kansas,92,North Carolina,89,,,,,
11/8/2024,@Maryland,86,Mt St Mary's,52,,,,,
11/8/2024,New Mexico,72,UCLA,64,"Henderson,",NV,,,
11/8/2024,@Purdue,72,N Kentucky,50,,,,,
11/8/2024,Central Conn,73,@St Joseph's PA,67,,,,,
11/8/2024,@S Dakota St,80,Long Beach St,79,,,,,
11/8/2024,@TCU,67,FGCU,51,,,,,
11/8/2024,@Virginia Tech,93,SC Upstate,74,,,,,
11/8/2024,@West Virginia,75,Massachusetts,69,,,,,
11/8/2024,VCU,80,Boston College,55,"Annapolis,",MD,,,
11/8/2024,@Clemson,88,St Francis PA,62,,,,,
11/8/2024,@Queens NC,67,W Carolina,54,,,,,
11/8/2024,@E Michigan,83,Siena Hts,58,,,,,
11/8/2024,@Stanford,80,CS Fullerton,53,,,,,
11/8/2024,@Fresno St,64,CS Sacramento,57,,,,,
11/8/2024,@Cincinnati,83,Morehead St,56,,,,,
11/8/2024,@FL Atlantic,99,Coastal GA,49,,,,,
11/8/2024,@Col Charleston,86,South Florida,71,,,,,
11/8/2024,@Denver,97,Western St CO,80,,,,,
11/8/2024,@Marquette,82,George Mason,63,,,,,
11/8/2024,Arizona St,81,Santa Clara,74,"Henderson,",NV,,,
11/8/2024,@G Washington,82,Hampton,54,,,,,
11/8/2024,@Navy,85,Harvard,80,,,,,
11/8/2024,@Rhode Island,91,Holy Cross,77,,,,,
11/8/2024,@Alabama,88,Arkansas St,79,,,,,
11/8/2024,@Xavier,94,IUPUI,80,,,,,
11/8/2024,@Missouri,77,Howard,62,,,,,
11/8/2024,@Ball St,87,Franklin,60,,,,,
11/8/2024,Furman,76,@Belmont,74,,,,,
11/8/2024,Pacific,80,San Jose St,67,"Honolulu,",HI,,,
11/8/2024,@Pittsburgh,83,Murray St,68,,,,,
11/8/2024,@Radford,89,William & Mary,77,,,,,
11/8/2024,@Buffalo,87,SUNY Fredonia,78,,,,,
11/8/2024,@Texas,90,Houston Chr,59,,,,,
11/8/2024,@San Diego,74,Boston Univ,60,,,,,
11/8/2024,@Towson,89,PSU Wilkes-Barre,34,,,,,
11/8/2024,@Tulane,80,ULM,64,,,,,
11/8/2024,@UNC Wilmington,92,Ga Southern,84,,,,,
